ts_utc,ts_cn,route,session,event,hours_to_open,hours_to_close,core_rows,core_rounds,core_last_utc,universe_rows,universe_rounds,universe_last_utc,orderbook_rows,orderbook_rounds,orderbook_last_utc,note
2026-09-13T02:19:10Z,2026-09-13 10:19:10,in_house,closed,,0.0,21.68,20020,1001,2026-09-13T02:18:09Z,77205,1595,2026-09-13T02:18:00Z,203290,1070,2026-09-13T02:19:03Z,
2026-09-13T02:49:11Z,2026-09-13 10:49:11,in_house,closed,,0.0,21.18,20620,1031,2026-09-13T02:48:09Z,80037,1654,2026-09-13T02:48:27Z,214690,1130,2026-09-13T02:49:04Z,
2026-09-13T03:19:12Z,2026-09-13 11:19:12,in_house,closed,,0.0,20.68,21220,1061,2026-09-13T03:18:09Z,82917,1714,2026-09-13T03:18:27Z,226090,1190,2026-09-13T03:19:04Z,
2026-09-13T03:49:12Z,2026-09-13 11:49:12,in_house,closed,,0.0,20.18,21820,1091,2026-09-13T03:48:10Z,85797,1774,2026-09-13T03:48:28Z,237490,1250,2026-09-13T03:49:05Z,
2026-09-13T04:19:13Z,2026-09-13 12:19:13,in_house,closed,,0.0,19.68,22420,1121,2026-09-13T04:18:10Z,88677,1834,2026-09-13T04:18:28Z,248890,1310,2026-09-13T04:19:05Z,
2026-09-13T04:49:14Z,2026-09-13 12:49:14,in_house,closed,,0.0,19.18,23020,1151,2026-09-13T04:48:10Z,91557,1894,2026-09-13T04:48:30Z,260290,1370,2026-09-13T04:49:06Z,
2026-09-13T05:19:15Z,2026-09-13 13:19:15,in_house,closed,,0.0,18.68,23620,1181,2026-09-13T05:18:10Z,94437,1954,2026-09-13T05:18:31Z,271690,1430,2026-09-13T05:19:06Z,
2026-09-13T05:49:16Z,2026-09-13 13:49:16,in_house,closed,,0.0,18.18,24220,1211,2026-09-13T05:48:11Z,97317,2014,2026-09-13T05:48:31Z,283090,1490,2026-09-13T05:49:07Z,
2026-09-13T06:19:16Z,2026-09-13 14:19:16,in_house,closed,,0.0,17.68,24820,1241,2026-09-13T06:18:11Z,100197,2074,2026-09-13T06:18:32Z,294490,1550,2026-09-13T06:19:07Z,
2026-09-13T06:49:17Z,2026-09-13 14:49:17,in_house,closed,,0.0,17.18,25420,1271,2026-09-13T06:48:11Z,103077,2134,2026-09-13T06:48:33Z,305890,1610,2026-09-13T06:49:08Z,
2026-09-13T07:11:00Z,2026-09-13 15:11:00,in_house,closed,,0.0,16.82,25860,1293,2026-09-13T07:10:11Z,105189,2178,2026-09-13T07:10:34Z,314060,1653,2026-09-13T07:10:38Z,
2026-09-13T07:19:18Z,2026-09-13 15:19:18,in_house,closed,,0.0,16.68,26020,1301,2026-09-13T07:18:11Z,105957,2194,2026-09-13T07:18:34Z,317290,1670,2026-09-13T07:19:08Z,
2026-09-13T07:41:02Z,2026-09-13 15:41:02,in_house,closed,,0.0,16.32,26460,1323,2026-09-13T07:40:12Z,107733,2231,2026-09-13T07:39:53Z,325460,1713,2026-09-13T07:40:38Z,
2026-09-13T07:49:19Z,2026-09-13 15:49:19,in_house,closed,,0.0,16.18,26620,1331,2026-09-13T07:48:12Z,108549,2248,2026-09-13T07:48:41Z,328690,1730,2026-09-13T07:49:09Z,
2026-09-13T08:11:04Z,2026-09-13 16:11:04,in_house,closed,,0.0,15.82,27060,1353,2026-09-13T08:10:12Z,110661,2292,2026-09-13T08:10:42Z,336860,1773,2026-09-13T08:10:39Z,
2026-09-13T08:19:20Z,2026-09-13 16:19:20,in_house,closed,,0.0,15.68,27240,1362,2026-09-13T08:19:12Z,111429,2308,2026-09-13T08:18:42Z,340090,1790,2026-09-13T08:19:09Z,
2026-09-13T08:41:06Z,2026-09-13 16:41:06,in_house,closed,,0.0,15.32,27660,1383,2026-09-13T08:40:12Z,113541,2352,2026-09-13T08:40:42Z,348260,1833,2026-09-13T08:40:39Z,
2026-09-13T08:49:21Z,2026-09-13 16:49:21,in_house,closed,,0.0,15.18,27840,1392,2026-09-13T08:49:12Z,114309,2368,2026-09-13T08:48:42Z,351490,1850,2026-09-13T08:49:10Z,
2026-09-13T09:11:08Z,2026-09-13 17:11:08,in_house,closed,,0.0,14.81,28260,1413,2026-09-13T09:10:12Z,116421,2412,2026-09-13T09:10:43Z,359660,1893,2026-09-13T09:10:40Z,
2026-09-13T09:19:22Z,2026-09-13 17:19:22,in_house,closed,,0.0,14.68,28440,1422,2026-09-13T09:19:12Z,117189,2428,2026-09-13T09:18:43Z,362890,1910,2026-09-13T09:19:10Z,
2026-09-13T09:41:10Z,2026-09-13 17:41:10,in_house,closed,,0.0,14.31,28860,1443,2026-09-13T09:40:13Z,119301,2472,2026-09-13T09:40:43Z,371060,1953,2026-09-13T09:40:40Z,
2026-09-13T09:49:23Z,2026-09-13 17:49:23,in_house,closed,,0.0,14.18,29040,1452,2026-09-13T09:49:13Z,120069,2488,2026-09-13T09:48:43Z,374290,1970,2026-09-13T09:49:11Z,
2026-09-13T10:11:13Z,2026-09-13 18:11:13,in_house,closed,,0.0,13.81,29460,1473,2026-09-13T10:10:13Z,122181,2532,2026-09-13T10:10:44Z,382460,2013,2026-09-13T10:10:41Z,
2026-09-13T10:19:24Z,2026-09-13 18:19:24,in_house,closed,,0.0,13.68,29640,1482,2026-09-13T10:19:13Z,122949,2548,2026-09-13T10:18:44Z,385690,2030,2026-09-13T10:19:11Z,
2026-09-13T10:41:15Z,2026-09-13 18:41:15,in_house,closed,,0.0,13.31,30060,1503,2026-09-13T10:40:13Z,125061,2592,2026-09-13T10:40:44Z,394050,2074,2026-09-13T10:41:11Z,
2026-09-13T10:49:26Z,2026-09-13 18:49:26,in_house,closed,,0.0,13.18,30240,1512,2026-09-13T10:49:13Z,125829,2608,2026-09-13T10:48:44Z,397090,2090,2026-09-13T10:49:12Z,
2026-09-13T11:11:17Z,2026-09-13 19:11:17,in_house,closed,,0.0,12.81,30660,1533,2026-09-13T11:10:13Z,127941,2652,2026-09-13T11:10:45Z,405450,2134,2026-09-13T11:11:12Z,
2026-09-13T11:19:27Z,2026-09-13 19:19:27,in_house,closed,,0.0,12.68,30840,1542,2026-09-13T11:19:13Z,128709,2668,2026-09-13T11:18:45Z,408490,2150,2026-09-13T11:19:12Z,
2026-09-13T11:41:18Z,2026-09-13 19:41:18,in_house,closed,,0.0,12.31,31260,1563,2026-09-13T11:40:12Z,130821,2712,2026-09-13T11:40:45Z,416850,2194,2026-09-13T11:41:11Z,
2026-09-13T11:49:27Z,2026-09-13 19:49:27,in_house,closed,,0.0,12.18,31440,1572,2026-09-13T11:49:12Z,131589,2728,2026-09-13T11:48:45Z,419890,2210,2026-09-13T11:49:11Z,
2026-09-13T12:11:21Z,2026-09-13 20:11:21,in_house,closed,,0.0,11.81,31860,1593,2026-09-13T12:10:12Z,133700,2772,2026-09-13T12:10:53Z,428250,2254,2026-09-13T12:11:11Z,
2026-09-13T12:19:28Z,2026-09-13 20:19:28,in_house,closed,,0.0,11.68,32040,1602,2026-09-13T12:19:12Z,134468,2788,2026-09-13T12:18:53Z,431290,2270,2026-09-13T12:19:11Z,
2026-09-13T12:41:23Z,2026-09-13 20:41:23,in_house,closed,,0.0,11.31,32480,1624,2026-09-13T12:41:13Z,136580,2832,2026-09-13T12:40:53Z,439650,2314,2026-09-13T12:41:12Z,
2026-09-13T12:49:29Z,2026-09-13 20:49:29,in_house,closed,,0.0,11.18,32640,1632,2026-09-13T12:49:13Z,137348,2848,2026-09-13T12:48:53Z,442690,2330,2026-09-13T12:49:12Z,
2026-09-13T13:11:26Z,2026-09-13 21:11:26,in_house,closed,,0.0,10.81,33080,1654,2026-09-13T13:11:13Z,139460,2892,2026-09-13T13:10:54Z,451050,2374,2026-09-13T13:11:12Z,
2026-09-13T13:19:30Z,2026-09-13 21:19:30,in_house,closed,,0.0,10.68,33240,1662,2026-09-13T13:19:13Z,140228,2908,2026-09-13T13:18:54Z,454090,2390,2026-09-13T13:19:12Z,
2026-09-13T13:41:28Z,2026-09-13 21:41:28,in_house,closed,,0.0,10.31,33680,1684,2026-09-13T13:41:13Z,142340,2952,2026-09-13T13:40:54Z,462450,2434,2026-09-13T13:41:13Z,
2026-09-13T13:49:32Z,2026-09-13 21:49:32,in_house,closed,,0.0,10.17,33840,1692,2026-09-13T13:49:13Z,143108,2968,2026-09-13T13:48:54Z,465490,2450,2026-09-13T13:49:13Z,
2026-09-13T14:11:31Z,2026-09-13 22:11:31,in_house,closed,,0.0,9.81,34280,1714,2026-09-13T14:11:13Z,145220,3012,2026-09-13T14:10:55Z,473850,2494,2026-09-13T14:11:13Z,
2026-09-13T14:19:33Z,2026-09-13 22:19:33,in_house,closed,,0.0,9.67,34440,1722,2026-09-13T14:19:13Z,145988,3028,2026-09-13T14:18:55Z,476890,2510,2026-09-13T14:19:13Z,
